State,City,PD,Black People Killed by Police (1/1/2013-12/31/2019),Hispanic People Killed by Police (1/1/2013-12/31/2019),Native American People Killed by Police (1/1/2013-12/31/2019),Asian People Killed by Police (1/1/2013-12/31/2019),Pacific Islanders Killed by Police (1/1/2013-12/31/2019),White People Killed by Police (1/1/2013-12/31/2019),Unknown Race People Killed by Police (1/1/2013-12/31/2019),Total,Black,White,Amer. Indian,Asian,Hawaiian,Other,"Two or
more races",Hispanic,Black-White Dissimilarity Index (2010),"Murder and
nonnegligent manslaughter",Violent crimes 2013 (if reported by agency),Violent crimes 2014 (if reported by agency),Violent crimes 2015 (if reported by agency),Violent crimes 2016 (if reported by agency),Violent crimes 2017 (if reported by agency),Violent crimes 2018 (if reported by agency),2013 Total Arrests (UCR Data),2014 Total Arrests,2015 Total Arrests,2016 Total Arrests,2017 Total Arrests,2018 Total Arrests
North Carolina,Greensboro,Greensboro Police Department,1,,,1,,1,,"269,666","108,233","122,888","1,096","10,711",128,703,"5,571","20,336",56.62,3,1449,1346,1707,,,,18013,16273,13601,11536,13247,10665
Nevada,Henderson,Henderson Police Department,1,2,,,,3,1,"257,729","12,471","177,039","1,182","18,172","1,354",479,"8,655","38,377",20.75,6,367,452,476,617,554,583,9279,9139,8954,9846,9414,12111
Florida,Hialeah,Hialeah Police Department,1,2,,,,1,,"224,669","6,066","9,511",73,697,2,119,253,"69,599",41.50,16,774,782,767,580,473,533,9403,8456,7950,7153,5026,6160
Hawaii,Honolulu,Honolulu Police Department,,3,,1,10,4,2,"953,206","26,690","171,577",517,"409,879","91,508",,"215,424","95,321",30.28,242,,,2437,3331,2440,2451,,,,,,
Texas,Houston,Houston Police Department,34,20,,1,,11,4,"2,099,451","485,956","537,901","3,528","124,859",711,"4,128","22,700","919,668",68.57,136,20993,22008,21994,23960,25609,24062,85551,65821,56317,57867,47449,43036
Indiana,Indianapolis,Indianapolis Metropolitan Police Department,16,,,,,10,,"820,445","223,053","480,960","1,760","17,053",274,"2,123","17,870","77,352",55.87,0,10479,10768,11124,11907,11616,11170,39493,33825,39620,37235,40668,34286
California,Irvine,Irvine Police Department,,,,,,,,"212,375","3,494","95,822",199,"82,722",295,554,"9,668","19,621",18.75,5,113,120,144,152,169,160,2742,2500,2988,3337,2782,2064
Texas,Irving,Irving Police Department,2,2,,1,,2,,"216,290","25,550","66,559",807,"30,161",221,434,"3,591","88,967",36.65,96,530,512,469,521,549,510,10329,7077,5831,5281,5464,5854
Florida,Jacksonville,Jacksonville Sheriff's Office,20,,,,,16,3,"821,784","247,516","452,525","2,687","34,731",668,"1,949","18,223","63,485",47.54,24,5246,5853,5622,5504,5648,5381,25922,25439,25969,24883,24313,26230
New Jersey,Jersey City,Jersey City Police Department,8,,,,,,,"247,597","59,060","53,236",586,"58,106",95,"2,423","5,835","68,256",58.69,78,1655,1381,1383,1276,1365,1233,8239,7334,7670,7732,6071,2972
Missouri,Kansas City Missouri,Kansas City Police Department,17,,,,1,7,3,"459,787","135,916","252,257","1,823","11,275",787,709,"11,067","45,953",62.23,14,5864,5862,6709,7915,8362,7842,11828,12336,10886,10629,10710,10796
Texas,Laredo,Laredo Police Department,,7,,,,1,,"236,091",478,"8,086",87,"1,313",11,121,245,"225,750",29.02,122,1027,976,972,940,839,890,8202,8125,8196,6945,4564,5991
Nevada,Las Vegas,Las Vegas Metropolitan Police Department,12,14,1,1,,27,4,"2,027,868","62,008","279,703","2,391","34,606","3,103","1,101","16,985","183,859",32.44,20,11374,12876,14383,13520,10071,9949,78230,70950,65575,67664,68602,75653
Kentucky,Lexington,Lexington Police Department,1,,,,,2,,"295,803","42,336","216,072",599,"9,506",107,546,"6,163","20,474",40.93,7,946,1041,1044,1079,1131,982,9189,8202,13310,13034,17257,19232
Nebraska,Lincoln,Lincoln Police Department,2,,,,,1,,"258,379","9,541","214,739","1,611","9,711",128,353,"6,114","16,182",32.16,23,990,918,1025,1006,,1045,13366,14839,13518,13053,,12874
California,Long Beach,Long Beach Police Department,7,8,,4,,5,,"462,257","59,925","135,698","1,349","58,268","4,915","1,118","12,572","188,412",57.35,260,2346,2304,2766,2846,3101,3284,18346,19109,15411,14726,12145,13362
California,Los Angeles,Los Angeles Police Department,27,71,,2,,20,4,"3,792,621","347,380","1,086,908","6,589","420,212","4,300","12,057","76,353","1,838,822",66.91,56,16524,19171,25156,28817,30507,30126,90436,83187,71732,68768,64440,58688
Kentucky,Louisville,Louisville Metro Police Department,12,,,1,,7,2,"597,337","135,138","408,157","1,289","12,764",347,"1,018","11,834","26,790",55.44,12,3644,4015,4315,4638,4596,4232,31716,34606,41338,40838,42199,41453
