,State,City,PD,Black People,Hispanic People,Native American People,Asian People,Pacific Islanders,White People,Unknown Race People,Total,Black,White,Amer. Indian,Asian,Hawaiian,Other,"Two or
more races",Hispanic,Black-White Dissimilarity Index (2010),"Murder and
nonnegligent manslaughter",Violent crimes 2013,Violent crimes 2014,Violent crimes 2015,Violent crimes 2016,Violent crimes 2017,Violent crimes 2018,2013 Total Arrests (UCR Data),2014 Total Arrests,2015 Total Arrests,2016 Total Arrests,2017 Total Arrests,2018 Total Arrests
47,Nevada,Las Vegas,Las Vegas Metropolitan Police Department,12,14,1,1,0,27,4,2027868,62008,279703,2391,34606,3103,1101,16985,183859,32,20,11374,12876,14383,13520,10071,9949,78230,70950,65575,67664,68602,75653
48,Kentucky,Lexington,Lexington Police Department,1,0,0,0,0,2,0,295803,42336,216072,599,9506,107,546,6163,20474,41,7,946,1041,1044,1079,1131,982,9189,8202,13310,13034,17257,19232
49,Nebraska,Lincoln,Lincoln Police Department,2,0,0,0,0,1,0,258379,9541,214739,1611,9711,128,353,6114,16182,32,23,990,918,1025,1006,0,1045,13366,14839,13518,13053,0,12874
50,California,Long Beach,Long Beach Police Department,7,8,0,4,0,5,0,462257,59925,135698,1349,58268,4915,1118,12572,188412,57,260,2346,2304,2766,2846,3101,3284,18346,19109,15411,14726,12145,13362
51,California,Los Angeles,Los Angeles Police Department,27,71,0,2,0,20,4,3792621,347380,1086908,6589,420212,4300,12057,76353,1838822,67,56,16524,19171,25156,28817,30507,30126,90436,83187,71732,68768,64440,58688
52,Kentucky,Louisville,Louisville Metro Police Department,12,0,0,1,0,7,2,597337,135138,408157,1289,12764,347,1018,11834,26790,55,12,3644,4015,4315,4638,4596,4232,31716,34606,41338,40838,42199,41453
53,Texas,Lubbock,Lubbock Police Department,0,3,0,0,0,0,0,229573,18744,127915,845,5471,147,241,2585,73625,47,7,1829,2084,2391,2741,0,2565,8861,7695,8092,7679,7129,7496
54,Wisconsin,Madison,Madison Police Department,3,0,0,0,0,5,0,233209,16507,176463,763,17126,67,374,5961,15948,37,140,884,846,890,832,958,1043,9265,9363,9382,8324,7925,8016
55,Tennessee,Memphis,Memphis Police Department,15,1,0,0,0,4,4,646889,408075,177735,1186,10067,159,742,6931,41994,68,13,10894,11399,11449,11947,13077,12674,47866,39655,34280,31793,30103,31342
56,Arizona,Mesa,Mesa Police Department,0,7,2,0,0,14,2,439041,14101,282505,8359,8174,1532,555,8062,115753,30,81,1807,2119,1972,2051,2047,1837,24509,24120,25723,22995,24344,20800
